Company,Type,Location,Remote/Hybrid Chance,Contact Email,Careers / Apply Link,Notes for 2nd-year ML/DS Student,CV Match Score (1-10),Why it matches your CV,Source
Speechify Inc,Startup,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/speechify-inc-software-engineer-ios-core-product,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,We Work Remotely
Wemolo,Company,Wroclaw,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-implementation-specialist-poland-wemolo-1131073,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,Remote OK
Concentric,Company,Seattle,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-internship-marketing-summer-2026-concentric-1130969,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,Remote OK
WhiteBridge-Ltd,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-junior-crypto-analyst-trader-whitebridge-ltd-1130961,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,Remote OK
Fisher Agencies,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-benefits-advisor-leadership-training-program-fisher-agencies-1130788,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,Remote OK
Nest Veterinary,Startup,United States,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-implementation-specialist-nest-veterinary-1130501,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,Remote OK
Bending Spoons,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/software-engineer-intern-at-bending-spoons-4405738205,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
Mirakl,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/analytics-engineer-intern-at-mirakl-4384028433,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
Joko,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/data-analyst-intern-at-joko-4376392910,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
Harmattan AI,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/ai-research-intern-at-harmattan-ai-4387995341,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
Novaspace,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/data-engineer-intern-at-novaspace-4342302813,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
Mirakl,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/data-analyst-intern-at-mirakl-4400181775,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
Criteo,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/research-intern-at-criteo-4390828029,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
Criteo,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/product-data-scientist-intern-at-criteo-4390810974,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
360Learning,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/data-analyst-6-month-internship-at-360learning-4404937665,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
ENGIE - International Supply & Energy Management,Company,"Courbevoie, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/intern-risk-analytics-data-scientist-assistant-at-engie-international-supply-energy-management-4375872945,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
Candriam,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/quantitative-analyst-intern-f-m-at-candriam-4405805607,Solid engineering role; highlight Python and ML exposure. In France — apply in French or bilingual.,2,General software engineering overlap with your skills.,LinkedIn
